"";"x.exe";"municípios";"2015.exe";"2016.exe";"2017.exe";"2018.exe";"x.leg";"2015.leg";"2016.leg";"2017.leg";"2018.leg";"2015";"2016";"2017";"2018"
"49";50;"Iguaba Grande";54,37;49,68;54,2;54,49;79;3,53;3,58;3,85;3,89;57,9;53,26;58,05;58,38
"50";51;"Bom Jardim";50,09;52,11;53,32;46,29;8;3,48;3,35;3,38;3,16;53,57;55,46;56,7;49,45
"51";52;"Miguel Pereira";49,35;53,12;54,57;44,77;35;3,53;3,86;3,4;2,43;52,88;56,98;57,97;47,2
"52";53;"Pinheiral";59,03;51,23;54,98;51,33;45;3,27;3,2;3,04;2,59;62,3;54,43;58,02;53,92
"53";54;"Quissamã";57,78;59,1;50,16;48,76;48;4,26;4,28;3,63;2,76;62,04;63,38;53,79;51,52
"54";55;"Itaocara";61,36;52,93;56,74;48,13;26;3,87;4,19;3,81;3,07;65,23;57,12;60,55;51,2
"55";56;"Conceição de Macabu";50,5;53,92;48,21;43,75;19;3,18;3,25;3,18;2,62;53,68;57,17;51,39;46,37
"56";57;"Silva Jardim";52,63;54,14;53,21;51,13;90;2,36;2,48;2,3;2,18;54,99;56,62;55,51;53,31
"57";58;"São José do Vale do Rio Preto";53,98;59,33;60,52;49,51;62;3,05;3,39;3,45;3,02;57,03;62,72;63,97;52,53
"58";59;"Cantagalo";53,92;60,34;52,5;52,49;16;4,52;4,7;4,43;3,77;58,44;65,04;56,93;56,26
"59";60;"Porciúncula";56,25;52,86;57;46,35;46;2,9;3,04;3,22;2,94;59,15;55,9;60,22;49,29
"60";61;"Mendes";48,91;47,23;51,05;51,1;34;2,85;2,86;3;2,55;51,76;50,09;54,05;53,65
"61";62;"Rio Claro";54,63;51,88;61,92;58,28;51;3,23;3,21;3,65;2,9;57,86;55,09;65,57;61,18
"62";63;"Sapucaia";50,73;52,81;50,6;48,4;89;4,75;4,71;4,47;4,06;55,48;57,52;55,07;52,46
"63";64;"Carapebus";61,14;61,11;64,76;63,21;13;3,9;3,92;3,22;2,91;65,04;65,03;67,98;66,12
"64";65;"Sumidouro";57,87;54,73;55,28;48,07;67;3,37;3,2;3,36;3,05;61,24;57,93;58,64;51,12
"65";66;"Cambuci";47,36;49,38;52,18;50,03;12;3,45;3,53;3,8;3,33;50,81;52,91;55,98;53,36
"66";67;"Italva";58,35;54,21;48,3;48,32;25;3,82;3,69;3,61;3,21;62,17;57,9;51,91;51,53
"67";68;"Engenheiro Paulo de Frontin";69,98;62,23;63,33;54,14;21;3,48;3,61;3,79;2,65;73,46;65,84;67,12;56,79
"68";69;"Cardoso Moreira";53,47;50,2;51,38;51,55;17;3,65;3,27;3,27;2,9;57,12;53,47;54,65;54,45
"69";70;"Areal";60,76;56,5;54;52,21;3;3,6;3,44;3,71;3,44;64,36;59,94;57,71;55,65
"70";71;"Aperibé";43,26;55,05;46,28;42,98;73;3,57;4;4,11;3,12;46,83;59,05;50,39;46,1
"71";72;"Varre-Sai";61,74;59,36;65,83;52,71;71;3,04;3,03;3,38;2,95;64,78;62,39;69,21;55,66
"72";73;"Santa Maria Madalena";49,81;57,74;53,89;47,87;54;3,97;4,43;4,66;4,25;53,78;62,17;58,55;52,12
"73";74;"São Sebastião do Alto";58,28;52,96;51,15;52,56;64;3,23;3,39;3,36;3,23;61,51;56,35;54,51;55,79
"74";75;"Rio das Flores";46,91;49,78;48,83;35,92;52;3,65;3,99;3,77;2,57;50,56;53,77;52,6;38,49
"75";76;"Comendador Levy Gasparian";52,75;63,47;52,09;49,19;14;4,06;4,32;4,11;3,85;56,81;67,79;56,2;53,04
"76";77;"São José de Ubá";47,41;47,8;46,91;44,45;61;4,2;3,95;3,91;3,13;51,61;51,75;50,82;47,58
"77";78;"Macuco";52,98;55,65;46,07;42,62;30;4,38;4,56;4,26;3,62;57,36;60,21;50,33;46,24
"78";79;"Carmo";48,79;57,01;56,95;45,43;76;3,73;3,76;3,74;2,89;52,52;60,77;60,69;48,32
"79";80;"Cordeiro";57,91;46,69;46,67;52,08;77;3,66;3,61;3,7;3,21;61,57;50,3;50,37;55,29
"80";81;"Duas Barras";57,36;55,77;52,11;51,73;78;3,4;3,38;3,17;3,06;60,76;59,15;55,28;54,79
"81";82;"Itatiaia";45;48,16;51,44;47,41;80;4,17;4,31;4;3,56;49,17;52,47;55,44;50,97
"82";83;"Laje do Muriaé";53,6;50,13;52,67;51,66;81;3,96;3,85;3,86;3,69;57,56;53,98;56,53;55,35
"83";84;"Miracema";50,96;49,41;58,55;53,91;83;3,08;2,84;3,43;2,79;54,04;52,25;61,98;56,7
"84";85;"Natividade";45,72;47,83;48,37;48,39;84;2,76;2,43;2,89;2,78;48,48;50,26;51,26;51,17
"85";86;"Porto Real";46,14;49,95;45,46;46,23;86;4,67;5,45;5,7;4;50,81;55,4;51,16;50,23
"86";87;"Quatis";51,53;48,18;49,55;48,18;87;2,44;2,33;2,5;2,74;53,97;50,51;52,05;50,92
"87";88;"Santo Antônio de Pádua";46,13;50,15;51,23;47,56;55;2,78;2,94;3,38;3,39;48,91;53,09;54,61;50,95
"88";89;"Seropédica";52,53;63,12;53,08;53,69;66;3,14;3,34;3,26;3,21;55,67;66,46;56,34;56,9
"89";90;"Tanguá";53,61;52,89;53,66;52,66;91;2,88;2,73;2,92;2,55;56,49;55,62;56,58;55,21
"90";91;"Trajano de Morais";51,3;58,08;51,26;49,2;92;3,65;4,41;4,15;3,25;54,95;62,49;55,41;52,45
"91";92;"Vassouras";50,54;51,79;48,4;41,31;93;2,35;2,76;2,67;2,18;52,89;54,55;51,07;43,49
"92";93;"Piraí";47,47;44,01;46,08;43,97;85;3,01;2,91;3,24;3,25;50,48;46,92;49,32;47,22
