"";"Rótulos de Linha";"2014";"2015";"2016";"2017";"2018"
"83";"São José do Vale do Rio Preto";7635634,01;5682988,47;4913729,8;6560188,24;10129800,08
"84";"São Pedro da Aldeia";11062313,21;8202840,05;7030056,31;9338582,99;14303644,65
"85";"São Sebastião do Alto";5810282,9;4327273,58;3732541,75;4984078,86;7710224
"86";"Sapucaia";284762,71;204343,27;249903,38;289346,75;385379,81
"87";"Saquarema";16551327,37;27340138,09;30651611,62;73090181,39;103481825,98
"88";"Seropédica";12488588,34;9222358,9;8630521,11;9667573,35;14229405,65
"89";"Silva Jardim";39305211,15;28245926,25;24064531,84;31728780,67;22850547,24
"90";"Sumidouro";6727417,79;5012421,99;4322097,15;5794394,07;8944637,1
"91";"Tanguá";8332516,17;6234750,84;5369980,33;7166238,86;10978454,05
"92";"Teresópolis";12263933,79;9132080,32;7872782,42;10495536,16;16198395,63
"93";"Trajano de Morais";6186766,61;4608594,72;4034242,59;5304889,35;8211379,55
"94";"Três Rios";1146795,37;663122,43;1002978,34;1323702,37;1538111,75
"95";"Valença";10111004,94;7559762,8;6499651,09;8670477,02;13408589,38
"96";"Varre-Sai";5810282,9;4326660,18;3751385,94;5008829,38;7748141,43
"97";"Vassouras";8548056,92;6367184,48;5489333,13;7328292,37;19284085,15
"98";"Volta Redonda";17757681,78;13406160,9;10444988,69;13831254,68;18828486,23
